Flagged Accounts,Customer Name,TDLinx Code,Address,City,State,Zip,Premise,Channel,Sub-Channel,Owner,Banner
FALSE,Dream Hollywood,7524108,6417 Selma Ave,Los Angeles,CA,90028,On-Premise,Lodging,Luxury Lodging,Independent,No Group Assignment
FALSE,Javiers Cantina,2519370,7832 E Coast Hwy,Newport Coast,CA,92657,On-Premise,Dining,Fine Dining,Independent,No Group Assignment
FALSE,Pechanga Resort & Casino,1775020,45000 Pechanga Pkwy,Temecula,CA,92592,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,El Chingon,2087630,560 5th Ave,San Diego,CA,92101,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Javiers,7554553,10250 Santa Monica Blvd Ste 1005,Los Angeles,CA,90067,On-Premise,Dining,Polished Casual,Independent,No Group Assignment
FALSE,Catch LA,7489015,8715 Melrose Ave,West Hollywood,CA,90069,On-Premise,Dining,Fine Dining,Catch Hospitality Group,No Group Assignment
FALSE,Levy At Dodger Stadium,5222907,1000 Vin Scully Ave,Los Angeles,CA,90012,On-Premise,Caterer,Food Service,Compass Group,Levy
FALSE,Morongo Casino,5240573,49500 Seminole Dr,Cabazon,CA,92230,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,Delilah,5233617,7969 Santa Monica Blvd,Los Angeles,CA,90046,On-Premise,Dining,Fine Dining,The H Wood Group,No Group Assignment
FALSE,Angel Stadium Of Anaheim,1606647,2000 E Gene Autry Way,Anaheim,CA,92806,On-Premise,Caterer,Food Service,Independent,No Group Assignment
FALSE,Toca Madera,5246948,8450 W 3rd St,Los Angeles,CA,90048,On-Premise,Dining,Polished Casual,The Madera Group,No Group Assignment
FALSE,Yaamava Resort & Casino,1748604,777 San Manuel Blvd,Highland,CA,92346,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,1 Hotel,7501899,8490 W Sunset Blvd,West Hollywood,CA,90069,On-Premise,Lodging,Luxury Lodging,SH Group,1 Hotel
FALSE,Bootsy Bellows,5247914,9229 W Sunset Blvd,West Hollywood,CA,90069,On-Premise,Bar/Nightclub,Casual Nightclub,The H Wood Group,No Group Assignment
FALSE,El Jardin,2026683,368 Santana Row Ste 1070,San Jose,CA,95128,On-Premise,Dining,Fine Dining,Independent,No Group Assignment
FALSE,Soho House,3758020,9200 W Sunset Blvd,West Hollywood,CA,90069,On-Premise,Recreation,Private Club,Soho House Group,No Group Assignment
FALSE,The West Hollywood Edition,5223220,9040 W Sunset Blvd,West Hollywood,CA,90069,On-Premise,Lodging,Full Service Lodging,Marriott International Inc,No Group Assignment
FALSE,Agua Caliente Casino,1605795,32250 Bob Hope Dr,Rancho Mirage,CA,92270,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,DLS Events,7692049,6211 W Sunset Blvd,Los Angeles,CA,90028,On-Premise,Other On-Premise,Special Events,Independent,No Group Assignment
FALSE,Lodge At Pebble Beach,5221324,1700 17 Mile Dr,Pebble Beach,CA,93953,On-Premise,Lodging,Resort/Convention,Pebble Beach Company,No Group Assignment
FALSE,Pacific Beach Shore Club,5521659,4343 Ocean Blvd,San Diego,CA,92109,On-Premise,Dining,Casual Dining,Square One Concepts Inc,No Group Assignment
FALSE,JW Marriott,5218386,74855 Country Club Dr,Palm Desert,CA,92260,On-Premise,Lodging,Resort/Convention,Marriott International Inc,JW Marriott
FALSE,Graton Resort & Casino,7277681,630 Park Ct,Rohnert Park,CA,94928,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,Rosewood Miramar Beach,7623265,1759 S Jameson Ln,Santa Barbara,CA,93108,On-Premise,Lodging,Full Service Lodging,Independent,No Group Assignment
FALSE,Javiers Cantina & Grill,5232431,536 Spectrum Center Dr,Irvine,CA,92618,On-Premise,Dining,Fine Dining,Independent,No Group Assignment
FALSE,Aramark Ring Central Coliseum,5225383,7000 Coliseum Way,Oakland,CA,94621,On-Premise,Caterer,Food Service,Aramark Corporation HQ,Aramark
FALSE,Nobu,5223581,22706 Pacific Coast Hwy,Malibu,CA,90265,On-Premise,Dining,Fine Dining,Independent,Nobu
FALSE,Sycuan Casino,3644235,5469 Casino Way,El Cajon,CA,92019,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,Thompson Hotels,7856967,1541 Wilcox Ave,Los Angeles,CA,90028,On-Premise,Lodging,Luxury Lodging,Hyatt Hotels Corporation,Thompson Hotels
FALSE,Javiers La Jolla,7617821,4301 La Jolla Village Dr,San Diego,CA,92122,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Fantasy Spring Resort & Casino,5240520,84245 Indio Springs Dr,Indio,CA,92203,On-Premise,Lodging,Resort/Convention,Independent,No Group Assignment
FALSE,Academy,1906191,6021 Hollywood Blvd,Los Angeles,CA,90028,On-Premise,Bar/Nightclub,Premium Nightclub,Independent,No Group Assignment
FALSE,Poppy,5232308,755 N La Cienega Blvd,West Hollywood,CA,90069,On-Premise,Bar/Nightclub,Casual Nightclub,The H Wood Group,No Group Assignment
FALSE,Terranea Resort,3523553,100 Terranea Way,Rancho Palos Verdes,CA,90275,On-Premise,Lodging,Resort/Convention,Independent,No Group Assignment
FALSE,Soho Warehouse,7637085,1000 S Santa Fe Ave,Los Angeles,CA,90021,On-Premise,Recreation,Private Club,Independent,No Group Assignment
FALSE,Tommie Hollywood,7898787,6516 Selma Ave,Los Angeles,CA,90028,On-Premise,Lodging,Full Service Lodging,Independent,No Group Assignment
FALSE,Savor Premier Food Services,5241432,2260 Jimmy Durante Blvd,Del Mar,CA,92014,On-Premise,Caterer,Food Service,SMG World,Savor Food & Beverage
FALSE,Sound,5233710,1642 N Las Palmas Ave,Los Angeles,CA,90028,On-Premise,Bar/Nightclub,Premium Nightclub,Independent,No Group Assignment
FALSE,The Lure Nightclub,1946045,1429 Ivar Ave,Los Angeles,CA,90028,On-Premise,Bar/Nightclub,Premium Nightclub,Independent,No Group Assignment
FALSE,Harrahs,5544910,777 Harrahs Rincon Way,Valley Center,CA,92082,On-Premise,Recreation,Casino/Gambling,Caesars Entertainment Inc,Harrahs
FALSE,The Chapel,5249438,694 N Robertson Blvd,West Hollywood,CA,90069,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Trunks,5235639,8809 Santa Monica Blvd,West Hollywood,CA,90069,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Lavo Ristorante,7901951,9201 W Sunset Blvd Ste 100,West Hollywood,CA,90069,On-Premise,Dining,Casual Dining,Tao Group,No Group Assignment
FALSE,Heart Weho,5235776,8911 Santa Monica Blvd,West Hollywood,CA,90069,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,The Bungalow,7468852,21058 Pacific Coast Hwy Ste 240,Huntington Beach,CA,92648,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Montage Resort & Spa,1753625,30801 Coast Hwy,Laguna Beach,CA,92651,On-Premise,Lodging,Resort/Convention,Preferred Hotels & Resorts,No Group Assignment
FALSE,Craigs,5222815,8826 Melrose Ave,West Hollywood,CA,90069,On-Premise,Dining,Fine Dining,Independent,No Group Assignment
FALSE,Nicks Restaurant (W),W406982,16721 Millikan Ave,Irvine,CA,92606,On-Premise,Dining,Polished Casual,Nicks Restaurant,Nicks
FALSE,Richs,5233764,1051 University Ave,San Diego,CA,92103,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Waldorf Astoria,1605760,1 Monarch Beach Resort,Dana Point,CA,92629,On-Premise,Lodging,Luxury Lodging,Hilton Worldwide,Waldorf Astoria
FALSE,Legends Golden 1 Center,7490559,500 David J Stern Walk,Sacramento,CA,95814,On-Premise,Caterer,Food Service,Legends Hospitality Management,Legends Hospitality
FALSE,Yamashiros,5226284,1999 N Sycamore Ave,Los Angeles,CA,90068,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Bar Melody,5235821,9132 S Sepulveda Blvd,Los Angeles,CA,90045,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Hard Rock Hotel & Casino,7695661,3317 Forty Mile Rd,Wheatland,CA,95692,On-Premise,Recreation,Casino/Gambling,Independent,Hard Rock Hotel & Casino
FALSE,Main Ro,2501197,6350 Hollywood Blvd,Los Angeles,CA,90028,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Pendry West Hollywood,5233553,8430 W Sunset Blvd,West Hollywood,CA,90069,On-Premise,Lodging,Full Service Lodging,Independent,No Group Assignment
FALSE,Tao,7522258,6421 Selma Ave,Los Angeles,CA,90028,On-Premise,Dining,Fine Dining,Tao Group,Tao
FALSE,Roccos Weho,7622499,8900 Santa Monica Blvd,West Hollywood,CA,90069,On-Premise,Bar/Nightclub,Sports Bar,Independent,No Group Assignment
FALSE,Red O Taste Of Mexico,7286881,143 Newport Center Dr,Newport Beach,CA,92660,On-Premise,Dining,Polished Casual,Independent,No Group Assignment
FALSE,La Vida Cantina,7226015,1870 Harbor Blvd Ste 209,Costa Mesa,CA,92627,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,HMS Host Warehouse (W),W405482,345 S Douglas St,El Segundo,CA,90245,On-Premise,Caterer,Catering,HMS Host Corporation,No Group Assignment
FALSE,Hyde Sunset Kitchen & Cocktails,5233616,8117 W Sunset Blvd,Los Angeles,CA,90046,On-Premise,Dining,Casual Dining,AccorHotels North America,No Group Assignment
FALSE,Fiesta Cantina,5248281,8865 Santa Monica Blvd,West Hollywood,CA,90069,On-Premise,Dining,Casual Dining,Cabo Cantina LLC,No Group Assignment
FALSE,The District By GS,5505864,3888 Crenshaw Blvd,Los Angeles,CA,90008,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Intercontinental Hotel,5220072,900 Wilshire Blvd,Los Angeles,CA,90017,On-Premise,Lodging,Full Service Lodging,InterContinental Hotels Group,Intercontinental Hotel
FALSE,Cafe Sevilla,5523393,1870 Harbor Blvd Ste 210,Costa Mesa,CA,92627,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Mesa Restaurant,5240042,725 Baker St,Costa Mesa,CA,92626,On-Premise,Dining,Fine Dining,Independent,No Group Assignment
FALSE,Eataly,3542878,10250 Santa Monica Blvd Ste 2705,Los Angeles,CA,90067,On-Premise,Dining,Casual Dining,Eataly NY LLC,Eataly
FALSE,SP2 Communal Bar & Restaurant,5246125,72 N Almaden Ave,San Jose,CA,95110,On-Premise,Dining,Fine Dining,Independent,No Group Assignment
FALSE,Parq Nightclub,1571909,615 Broadway,San Diego,CA,92101,On-Premise,Bar/Nightclub,Premium Nightclub,Independent,No Group Assignment
FALSE,Chill Lounge,3877420,216 S Indian Canyon Dr,Palm Springs,CA,92262,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Pasea Hotel & Spa,7468848,21080 Pacific Coast Hwy,Huntington Beach,CA,92648,On-Premise,Lodging,Luxury Lodging,Pacific Hospitality Group LLC,No Group Assignment
FALSE,Temple,2291070,540 Howard St,San Francisco,CA,94105,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,Brigantine Portside Pier,5232771,1360 N Harbor Dr,San Diego,CA,92101,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,La Quinta Resort & Club,5251396,49499 Eisenhower Dr,La Quinta,CA,92253,On-Premise,Lodging,Resort/Convention,Hilton Worldwide,No Group Assignment
FALSE,Space 550,5245333,550 Barneveld Ave,San Francisco,CA,94124,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,3rd Base,5505196,1562 N Cahuenga Blvd,Los Angeles,CA,90028,On-Premise,Bar/Nightclub,Sports Bar,Independent,No Group Assignment
FALSE,Jamesons Pub,5247042,2702 Main St,Santa Monica,CA,90405,On-Premise,Bar/Nightclub,Irish Pub,Independent,No Group Assignment
FALSE,Mavericks Beach Club,5235344,860 Garnet Ave,San Diego,CA,92109,On-Premise,Bar/Nightclub,Premium Nightclub,Verant Group,No Group Assignment
FALSE,Viejas Casino & Turf,5240496,5000 Willows Rd,Alpine,CA,91901,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,Sidebar Nightclub & Lounge,7202452,536 Market St,San Diego,CA,92101,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,Panama Joes,5247116,5100 E 2nd St,Long Beach,CA,90803,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Pacers,5247603,3334 Midway Dr,San Diego,CA,92110,On-Premise,Bar/Nightclub,Adult Entertainment,Independent,No Group Assignment
FALSE,Grand Hyatt,5218838,1 Market Pl,San Diego,CA,92101,On-Premise,Lodging,Full Service Lodging,Hyatt Hotels Corporation,Grand Hyatt
FALSE,Shannons On Pine,2054778,209 Pine Ave,Long Beach,CA,90802,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Recital,3566662,3500 W 6th St Ste 330,Los Angeles,CA,90020,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,Elephante,7594594,1332 2nd St,Santa Monica,CA,90401,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,TopGolf,7906182,1050 N Archibald Ave,Ontario,CA,91764,On-Premise,Recreation,Golf/Country Club,TopGolf Corp HQ,TopGolf
FALSE,Belles,5504566,24 Windward Ave,Venice,CA,90291,On-Premise,Dining,Polished Casual,Independent,No Group Assignment
FALSE,Levy Levis Stadium,7334196,4900 Marie P Debartolo Way,Santa Clara,CA,95054,On-Premise,Caterer,Food Service,Compass Group,Levy
FALSE,Oracle Park,3361154,24 Willie Mays Plz,San Francisco,CA,94107,On-Premise,Recreation,Stadium/Arena/Convention,Independent,No Group Assignment
FALSE,Marriott Hotels & Resorts,5217895,780 Mission St,San Francisco,CA,94103,On-Premise,Lodging,Full Service Lodging,Marriott International Inc,Marriott Hotels & Resorts
FALSE,Nightingale Plaza,5508148,643 N La Cienega Blvd,West Hollywood,CA,90069,On-Premise,Bar/Nightclub,Premium Nightclub,AccorHotels North America,No Group Assignment
FALSE,Downtown Experiment,7853728,3601 University Ave,Riverside,CA,92501,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Omni Resort,5217629,2100 Costa Del Mar Rd,Carlsbad,CA,92009,On-Premise,Lodging,Resort/Convention,TRT Holdings,Omni Resort
FALSE,Balboa Bay Resort,5221281,1221 W Coast Hwy Ste 145,Newport Beach,CA,92663,On-Premise,Lodging,Resort/Convention,Independent,No Group Assignment
FALSE,New Figueroa Hotel,5218574,939 S Figueroa St,Los Angeles,CA,90015,On-Premise,Lodging,Full Service Lodging,Hersha Hospitality Management,No Group Assignment
FALSE,Dave & Busters,5223183,20 City Blvd W Ste G1,Orange,CA,92868,On-Premise,Dining,Casual Dining,Dave & Busters Holdings Inc,Dave & Busters
FALSE,Nova,5257789,83 S 2nd St,San Jose,CA,95113,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,The Beverly Hills Hotel,5219913,9641 Sunset Blvd,Beverly Hills,CA,90210,On-Premise,Lodging,Luxury Lodging,Independent,No Group Assignment
FALSE,A Crystal Cove,7336938,7864 E Coast Hwy,Newport Coast,CA,92657,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Water Bar Grill,5223948,4325 Ocean Blvd,San Diego,CA,92109,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Toro,5261308,672 5th Ave,San Diego,CA,92101,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Ace Hotel,7295197,929 S Broadway,Los Angeles,CA,90015,On-Premise,Lodging,Full Service Lodging,Park Hotels & Resorts Inc,Ace Hotel
FALSE,Mastros Steakhouse,1604041,246 N Canon Dr,Beverly Hills,CA,90210,On-Premise,Dining,Fine Dining,Landrys Inc,Mastros Steakhouse
FALSE,Dave & Busters,5527008,2931 Camino Del Rio N,San Diego,CA,92108,On-Premise,Dining,Casual Dining,Dave & Busters Holdings Inc,Dave & Busters
FALSE,Beaux,5237467,2344 Market St,San Francisco,CA,94114,On-Premise,Bar/Nightclub,Adult Entertainment,Independent,No Group Assignment
FALSE,Sky River Casino,7922409,1 Sky River Pkwy,Elk Grove,CA,95757,On-Premise,Recreation,Casino/Gambling,Boyd Gaming Corp HQ,No Group Assignment
FALSE,TopGolf,5256893,10 Topgolf Dr,Alviso,CA,95002,On-Premise,Recreation,Golf/Country Club,TopGolf Corp HQ,TopGolf
FALSE,Beverly Wilshire,5218556,9500 Wilshire Blvd,Beverly Hills,CA,90212,On-Premise,Lodging,Luxury Lodging,Four Seasons Hotels & Resorts,No Group Assignment
FALSE,Cabo Cantina,5238844,1240 3rd Street Promenade,Santa Monica,CA,90401,On-Premise,Dining,Casual Dining,Cabo Cantina LLC,Cabo Cantina
FALSE,Time Nightclub,7809572,1875 Harbor Blvd B245,Costa Mesa,CA,92627,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,American Junkie,5223294,628 5th Ave,San Diego,CA,92101,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,JW Marriott,3705437,900 W Olympic Blvd,Los Angeles,CA,90015,On-Premise,Lodging,Luxury Lodging,Marriott International Inc,JW Marriott
FALSE,Nova,1960530,454 6th Ave,San Diego,CA,92101,On-Premise,Bar/Nightclub,Premium Nightclub,Independent,No Group Assignment
FALSE,Hollywood Roosevelt Hotel,5218578,7000 Hollywood Blvd Ste 6,Los Angeles,CA,90028,On-Premise,Lodging,Full Service Lodging,Preferred Hotels & Resorts,No Group Assignment
FALSE,Mastros Ocean Club,1922729,8112 E Coast Hwy,Newport Coast,CA,92657,On-Premise,Dining,Fine Dining,Landrys Inc,Mastros Ocean Club
FALSE,Roosterfish,5233099,1302 Abbot Kinney Blvd,Venice,CA,90291,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Avra,7275339,233 N Beverly Dr,Beverly Hills,CA,90210,On-Premise,Dining,Polished Casual,Independent,No Group Assignment
FALSE,Pharaoh Lounge,1674508,3680 Wilshire Blvd Ste B02,Los Angeles,CA,90010,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Wild Goose,5246257,436 E 17th St,Costa Mesa,CA,92627,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Joeys Restaurant,7682197,700 W 7th St Ste S430,Los Angeles,CA,90017,On-Premise,Dining,Casual Dining,Joeys Restaurant Inc,Joeys Restaurant
FALSE,Xalos,5240104,480 N Glassell St,Anaheim,CA,92806,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,Mickys,5247206,8857 Santa Monica Blvd,West Hollywood,CA,90069,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,The Fairmont,5217582,950 Mason St,San Francisco,CA,94108,On-Premise,Lodging,Luxury Lodging,AccorHotels North America,The Fairmont
FALSE,TopGolf,5249681,400 S Pacific Coast Hwy,El Segundo,CA,90245,On-Premise,Recreation,Golf/Country Club,TopGolf Corp HQ,TopGolf
FALSE,Nice Guy,1605581,401 N La Cienega Blvd,Los Angeles,CA,90048,On-Premise,Dining,Fine Dining,The H Wood Group,No Group Assignment
FALSE,Straits Restaurant,1776936,333 Santana Row Ste 1100,San Jose,CA,95128,On-Premise,Dining,Polished Casual,Chris Yeo Group,Straits Restaurant
FALSE,Best Beverage Catering,7335280,485 Valley Dr,Brisbane,CA,94005,On-Premise,Caterer,Catering,Best Beverage Catering,Best Beverage Catering
FALSE,The Seabird Resort,7852963,101 Mission Ave,Oceanside,CA,92054,On-Premise,Lodging,Resort/Convention,Independent,No Group Assignment
FALSE,Spectra Orange Market Place,5507280,88 Fair Dr Ste 10,Costa Mesa,CA,92626,On-Premise,Caterer,Food Service,Spectra Food Serv & Hospitality,Spectra
FALSE,Balboa Cafe,5257353,3199 Fillmore St,San Francisco,CA,94123,On-Premise,Dining,Polished Casual,Plumpjack Group,No Group Assignment
FALSE,Catch Steak LA,5229097,650 N La Cienega Blvd,West Hollywood,CA,90069,On-Premise,Dining,Fine Dining,Catch Hospitality Group,No Group Assignment
FALSE,Cafe Sevilla,7070425,353 5th Ave,San Diego,CA,92101,On-Premise,Dining,Polished Casual,Independent,No Group Assignment
FALSE,Soboba Casino Resort,7624975,22777 Soboba Rd,San Jacinto,CA,92583,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,Perch Restaurant,3943489,448 S Hill St Ste 1312,Los Angeles,CA,90013,On-Premise,Dining,Fine Dining,Independent,No Group Assignment
FALSE,Raised By Wolves,7582626,4545 La Jolla Village Dr Ste 430,San Diego,CA,92122,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,El Prez,5224395,4190 Mission Blvd Ste 271,San Diego,CA,92109,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Taisho,5246703,14016 Ventura Blvd,Sherman Oaks,CA,91423,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Matador Cantina,5262439,111 N Harbor Blvd,Fullerton,CA,92832,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,The Valencia Room,5237457,647 Valencia St,San Francisco,CA,94110,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Dave & Busters,5222830,4821 Mills Cir,Ontario,CA,91764,On-Premise,Dining,Casual Dining,Dave & Busters Holdings Inc,Dave & Busters
FALSE,Yard House,3192754,800 W Olympic Blvd Ste A115,Los Angeles,CA,90015,On-Premise,Dining,Casual Dining,Darden Restaurants Inc,Yard House
FALSE,Hello Stranger,7588063,1724 Broadway,Oakland,CA,94612,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,The Grand,5234372,520 4th St,San Francisco,CA,94107,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,Hotel Valencia,1777748,355 Santana Row,San Jose,CA,95128,On-Premise,Lodging,Full Service Lodging,Independent,No Group Assignment
FALSE,Roccapulco Supper Club,5257580,3140 Mission St,San Francisco,CA,94110,On-Premise,Recreation,Private Club,Independent,No Group Assignment
FALSE,1212,5247453,1212 3rd Street Promenade,Santa Monica,CA,90401,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Belmont Park,7196155,3125 Ocean Front Walk,San Diego,CA,92109,On-Premise,Recreation,Theme Park,Independent,No Group Assignment
FALSE,Cabo Cantina,3652429,6669 Hollywood Blvd,Los Angeles,CA,90028,On-Premise,Dining,Casual Dining,Cabo Cantina LLC,Cabo Cantina
FALSE,Barley Mash,5222438,600 5th Ave,San Diego,CA,92101,On-Premise,Dining,Fine Dining,Verant Group,No Group Assignment
FALSE,Esperanza,5235817,309 Manhattan Beach Blvd,Manhattan Beach,CA,90266,On-Premise,Dining,Polished Casual,Independent,No Group Assignment
FALSE,The Inn At Spanish Bay,5221331,2700 17 Mile Dr,Pebble Beach,CA,93953,On-Premise,Lodging,Resort/Convention,Pebble Beach Company,No Group Assignment
FALSE,Flicks,5261221,1017 University Ave,San Diego,CA,92103,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,Dave & Busters,5226194,940 Great Mall Dr,Milpitas,CA,95035,On-Premise,Dining,Casual Dining,Dave & Busters Holdings Inc,Dave & Busters
FALSE,Castaway,5222412,1250 E Harvard Rd,Burbank,CA,91501,On-Premise,Dining,Casual Dining,Specialty Restaurants Corp,No Group Assignment
FALSE,Pala Casino,1632376,11154 Highway 76,Pala,CA,92059,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,Club 54,5233667,54 E Colorado Blvd,Pasadena,CA,91105,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,Exchange La,5233655,618 S Spring St,Los Angeles,CA,90014,On-Premise,Bar/Nightclub,Casual Nightclub,Independent,No Group Assignment
FALSE,Chumash Casino & Resort,1871372,3400 E Highway 246,Santa Ynez,CA,93460,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,Ysabel Restaurant,5247651,945 N Fairfax Ave,Los Angeles,CA,90046,On-Premise,Dining,Fine Dining,Independent,No Group Assignment
FALSE,Village Pub,5236312,266 S Palm Canyon Dr,Palm Springs,CA,92262,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Hilton,5218428,9876 Wilshire Blvd,Beverly Hills,CA,90210,On-Premise,Lodging,Luxury Lodging,Hilton Worldwide,Hilton
FALSE,Faces,5254545,2000 K St,Sacramento,CA,95811,On-Premise,Bar/Nightclub,Adult Entertainment,Independent,No Group Assignment
FALSE,Couture,5238778,1640 N Cahuenga Blvd,Los Angeles,CA,90028,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Ola Mexican Kitchen,7443888,21040 Pacific Coast Hwy Ste F200,Huntington Beach,CA,92648,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Ritz Carlton Resort,5217590,1 Ritz Carlton Dr,Dana Point,CA,92629,On-Premise,Lodging,Resort/Convention,Marriott International Inc,Ritz Carlton Resort
FALSE,The Country Club,5235888,330 E 17th St,Costa Mesa,CA,92627,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
FALSE,Tower 12,7517140,53 Pier Ave,Hermosa Beach,CA,90254,On-Premise,Bar/Nightclub,Neighborhood Bar,Independent,No Group Assignment
